id,ticker,dividend_yield,predicted_high,predicted_low,is_odd,last_updated,company_name,total_dividend_2025,previous_close,live_price_2026,base_yield,live_yield,sector,last_mined,last_live_update,pe_ratio,payout_ratio,pbv,roe,beta
109,BSIM.JK,0,,,false,2026-03-06 04:26:21.614432+00,Bank Sinarmas Tbk.,0,880,,,,,2026-03-13 16:49:04.395731+00,,55.555553,0,1.9973264,4.275,0.1
110,BSSR.JK,12.65,,,false,2026-03-06 04:26:23.025974+00,Baramulti Suksessarana Tbk.,500.79743,3960,,,,,2026-03-13 16:49:04.81815+00,,7.499858,91.080004,33846.152,27.105,-0.452
111,BSWD.JK,0,,,false,2026-03-06 04:26:24.43575+00,Bank Of India Indonesia Tbk.,0,1350,,,,,2026-03-06 08:11:32.294829+00,,,,,,
112,BTEK.JK,0,,,false,2026-03-06 04:26:25.817552+00,Bumi Teknokultura Unggul Tbk,0,15,,,,,2026-03-13 16:49:05.229206+00,,,0,1.7703294,-101.688,0.418
113,BTEL.JK,0,,,false,2026-03-06 04:26:27.115986+00,"BTEL.JK,0P0000BGUU,0",0,50,,,,,2026-03-06 08:11:33.03919+00,,,,,,
114,BTON.JK,0,,,false,2026-03-06 04:26:28.555629+00,Betonjaya Manunggal Tbk,0,378,,,,,2026-03-13 16:41:25.92962+00,,28.244787,,0.92089784,11.98,0.272
115,BTPN.JK,2.64,,,false,2026-03-06 04:26:29.948127+00,Bank SMBC Indonesia Tbk.,52.846146,2000,,,,,2026-03-13 16:49:05.652178+00,,42.48991,112.44,0.44868702,-0.189,
116,BUDI.JK,4.33,,,false,2026-03-06 04:26:31.546898+00,Budi Starch & Sweetener Tbk.,9,208,,,,,2026-03-13 16:49:06.485463+00,,10.5476675,35.509998,0.6006787,5.732,0.113
117,BUKK.JK,0,,,false,2026-03-06 04:26:32.851448+00,Bukaka Teknik Utama Tbk.,0,1500,,,,,2026-03-13 16:49:06.912075+00,,7.0409317,0,0.698633,9.081,-0.548
118,BULL.JK,0,,,false,2026-03-06 04:26:34.16681+00,Buana Lintas Lautan Tbk.,0,334,,,,,2026-03-13 16:49:07.327751+00,,22.002634,0,25692.307,8.422,1.02
119,BUMI.JK,0,,,false,2026-03-06 04:26:35.694086+00,Bumi Resources Tbk,0,210,,,,,2026-03-13 16:49:07.77917+00,,,0,52499.996,0.483,-0.032
120,BUVA.JK,0,,,false,2026-03-06 04:26:37.01314+00,Bukit Uluwatu Villa Tbk.,0,940,,,,,2026-03-13 16:49:08.228989+00,,216.58986,0,13.296368,8.522,0.407
121,BVIC.JK,0,,,false,2026-03-06 04:26:38.582246+00,Bank Victoria International Tbk,0,102,,,,,2026-03-13 16:49:08.63616+00,,10.323887,0,0.43003318,3.174,
122,BWPT.JK,0,,,false,2026-03-06 04:26:39.919759+00,Eagle High Plantations Tbk.,0,114,,,,,2026-03-13 16:49:09.044796+00,,9.810672,0,1.2723215,14.362,0.136
123,BYAN.JK,1.5,,,false,2026-03-06 04:26:41.294278+00,Bayan Resources Tbk,194.84,12950,,,,,2026-03-13 16:49:09.511106+00,,33.408146,52.15,168181.81,31.309,-0.666
124,CANI.JK,0,,,false,2026-03-06 04:26:42.613887+00,Capitol Nusantara Indonesia Tbk,0,97,,,,,2026-03-13 16:49:09.928218+00,,,0,-2365.8535,0,1.453
125,CASS.JK,0,,,false,2026-03-06 04:26:43.931031+00,Cahaya Aero Services Tbk.,0,1995,,,,,2026-03-13 16:49:10.402221+00,,8.814952,0,2.8758125,48.138002,0.123
126,CEKA.JK,6.76,,,false,2026-03-06 04:26:45.403959+00,Wilmar Cahaya Indonesia Tbk.,150,2220,,,,,2026-03-13 16:49:10.861688+00,,4.9432197,33.41,0.6672578,14.122,0.165
127,CENT.JK,0,,,false,2026-03-06 04:26:46.778002+00,Centratama Telekomunikasi Indon,0,99,,,,,2026-03-13 16:49:11.276646+00,,,0,1.0328423,-577.23603,0.301
128,CFIN.JK,15.43,,,false,2026-03-06 04:26:48.223368+00,Clipan Finance Indonesia Tbk,50,324,,,,,2026-03-13 16:49:11.776142+00,,6.0822225,93.88,0.22312176,3.674,0.183
129,CINT.JK,5.05,,,false,2026-03-06 04:26:49.546004+00,Chitose Internasional Tbk.,10,198,,,,,2026-03-13 16:49:12.222005+00,,,0,0.6867465,7.264,0.009
130,CITA.JK,7.98,,,false,2026-03-06 04:26:50.942771+00,Cita Mineral Investindo Tbk,328,4110,,,,,2026-03-13 16:49:12.644279+00,,5.471829,43.68,1.9394212,39.714,-0.099
131,CLPI.JK,9.04,,,false,2026-03-06 04:26:52.353314+00,Colorpak Indonesia Tbk,139.21,1540,,,,,2026-03-13 16:49:13.067445+00,,7.1848464,64.959997,0.84467566,11.017,-0.135
132,CMNP.JK,0,,,false,2026-03-06 04:26:53.818552+00,Citra Marga Nusaphala Persada T,0,1420,,,,,2026-03-13 16:49:13.480366+00,,10.219503,0,0.62013066,5.054,0.078
